Months_since_Release,Format,A_units,A_values,Platform_Label,Territory_label,Avg_Price_unit,log_A_values,Forecasted_A_units,Discount_Forecast
9,,,,,MIDDLE EAST,,,28.280016872274068,28.280016872274068
10,,,,,MIDDLE EAST,,,22.82316448569869,22.82316448569869
11,,,,,MIDDLE EAST,,,18.38329368416707,18.38329368416707
12,,,,,MIDDLE EAST,,,14.77087184501518,14.77087184501518
4,,,,,NORDICS,,,101.56379432770042,101.56379432770042
5,,,,,NORDICS,,,93.6078676502504,93.6078676502504
6,,,,,NORDICS,,,86.26908632815564,90.58254064456342
7,,,,,NORDICS,,,79.49957807637927,79.49957807637927
8,,,,,NORDICS,,,73.25518408784325,73.98773592872168
9,,,,,NORDICS,,,67.49517097701896,67.49517097701896
10,,,,,NORDICS,,,62.18196506820257,62.18196506820257
11,,,,,NORDICS,,,57.2809072951862,57.2809072951862
12,,,,,NORDICS,,,52.76002711348905,52.76002711348905
4,,,,,BENE,,,82.94073937171727,82.94073937171727
5,,,,,BENE,,,76.33611782350711,76.33611782350711
6,,,,,BENE,,,70.25116081627644,73.76371885709027
7,,,,,BENE,,,64.64498012756154,64.64498012756154
8,,,,,BENE,,,59.47990470021306,60.074703747215196
9,,,,,BENE,,,54.72122750953642,54.72122750953642
10,,,,,BENE,,,50.33697234742137,50.33697234742137
11,,,,,BENE,,,46.29767895635207,46.29767895635207
12,,,,,BENE,,,42.57620506949348,42.57620506949348
4,,,,,CENTRAL EUROPE,,,100.00000000000003,100.00000000000003
5,,,,,CENTRAL EUROPE,,,100.00000000000003,100.00000000000003
6,,,,,CENTRAL EUROPE,,,100.00000000000003,105.00000000000003
7,,,,,CENTRAL EUROPE,,,100.00000000000003,100.00000000000003
8,,,,,CENTRAL EUROPE,,,100.00000000000003,101.00000000000003
9,,,,,CENTRAL EUROPE,,,100.00000000000003,100.00000000000003
10,,,,,CENTRAL EUROPE,,,100.00000000000003,100.00000000000003
11,,,,,CENTRAL EUROPE,,,100.00000000000003,100.00000000000003
12,,,,,CENTRAL EUROPE,,,100.00000000000003,100.00000000000003
4,,,,,GSA,,,98.16292940663135,98.16292940663135
5,,,,,GSA,,,82.12629246089696,82.12629246089696
6,,,,,GSA,,,68.68310173612602,72.11725682293232
7,,,,,GSA,,,57.413944900182486,57.413944900182486
8,,,,,GSA,,,47.96723701712841,48.4469093872997
9,,,,,GSA,,,40.0482514952374,40.0482514952374
10,,,,,GSA,,,33.40992495098044,33.40992495098044
11,,,,,GSA,,,27.84514911114993,27.84514911114993
12,,,,,GSA,,,23.180309269194332,23.180309269194332
4,,,,,IBERIA,,,94.78736589389841,94.78736589389841
5,,,,,IBERIA,,,88.0213619340442,88.0213619340442
6,,,,,IBERIA,,,81.73327914007182,85.81994309707541
7,,,,,IBERIA,,,75.88935923425146,75.88935923425146
8,,,,,IBERIA,,,70.45822847713417,71.16281076190552
9,,,,,IBERIA,,,65.4107292341128,65.4107292341128
10,,,,,IBERIA,,,60.71976343939068,60.71976343939068
11,,,,,IBERIA,,,56.36014711697557,56.36014711697557
12,,,,,IBERIA,,,52.308475177680705,52.308475177680705
4,,,,,ITALY,,,77.68155528008957,77.68155528008957
5,,,,,ITALY,,,70.81522153538627,70.81522153538627
6,,,,,ITALY,,,64.54809479575317,67.77549953554083
7,,,,,ITALY,,,58.827883831507194,58.827883831507194
8,,,,,ITALY,,,53.60686073194959,54.14292933926909
9,,,,,ITALY,,,48.84146267644136,48.84146267644136
10,,,,,ITALY,,,44.4919284578769,44.4919284578769
11,,,,,ITALY,,,40.5219667258038,40.5219667258038
12,,,,,ITALY,,,36.89845318109909,36.89845318109909
4,,,,,LUXEMBOURG,,,100.00000000000003,100.00000000000003
5,,,,,LUXEMBOURG,,,100.00000000000003,100.00000000000003
6,,,,,LUXEMBOURG,,,100.00000000000003,105.00000000000003
7,,,,,LUXEMBOURG,,,100.00000000000003,100.00000000000003
8,,,,,LUXEMBOURG,,,100.00000000000003,101.00000000000003
9,,,,,LUXEMBOURG,,,100.00000000000003,100.00000000000003
10,,,,,LUXEMBOURG,,,100.00000000000003,100.00000000000003
11,,,,,LUXEMBOURG,,,100.00000000000003,100.00000000000003
12,,,,,LUXEMBOURG,,,100.00000000000003,100.00000000000003
4,,,,,NORTHERN EUROPE,,,100.00000000000003,100.00000000000003
5,,,,,NORTHERN EUROPE,,,100.00000000000003,100.00000000000003
6,,,,,NORTHERN EUROPE,,,100.00000000000003,105.00000000000003
7,,,,,NORTHERN EUROPE,,,100.00000000000003,100.00000000000003
8,,,,,NORTHERN EUROPE,,,100.00000000000003,101.00000000000003
9,,,,,NORTHERN EUROPE,,,100.00000000000003,100.00000000000003
10,,,,,NORTHERN EUROPE,,,100.00000000000003,100.00000000000003
11,,,,,NORTHERN EUROPE,,,100.00000000000003,100.00000000000003
12,,,,,NORTHERN EUROPE,,,100.00000000000003,100.00000000000003
4,,,,,OCEANIA,,,88.62837029275741,88.62837029275741
5,,,,,OCEANIA,,,73.99473922737293,73.99473922737293
6,,,,,OCEANIA,,,61.750342256710084,64.8378593695456
7,,,,,OCEANIA,,,51.50508894225254,51.50508894225254
8,,,,,OCEANIA,,,42.932578942054455,43.361904731475
9,,,,,OCEANIA,,,35.75970332366499,35.75970332366499
10,,,,,OCEANIA,,,29.757943671509775,29.757943671509775
11,,,,,OCEANIA,,,24.736091789694154,24.736091789694154
12,,,,,OCEANIA,,,20.53415805950241,20.53415805950241
4,,,,,POLAND,,,94.84311435946329,94.84311435946329
5,,,,,POLAND,,,93.67120352400373,93.67120352400373
6,,,,,POLAND,,,92.51362209567421,97.13930320045792
7,,,,,POLAND,,,91.3701948632706,91.3701948632706
8,,,,,POLAND,,,90.24074875796373,91.14315624554337
9,,,,,POLAND,,,89.12511282710415,89.12511282710415
10,,,,,POLAND,,,88.02311820834653,88.02311820834653
11,,,,,POLAND,,,86.9345981040908,86.9345981040908
12,,,,,POLAND,,,85.85938775623558,85.85938775623558
4,,,,,SOUTHERN EUROPE,,,100.00000000000003,100.00000000000003
5,,,,,SOUTHERN EUROPE,,,100.00000000000003,100.00000000000003
6,,,,,SOUTHERN EUROPE,,,100.00000000000003,105.00000000000003
7,,,,,SOUTHERN EUROPE,,,100.00000000000003,100.00000000000003
8,,,,,SOUTHERN EUROPE,,,100.00000000000003,101.00000000000003
9,,,,,SOUTHERN EUROPE,,,100.00000000000003,100.00000000000003
10,,,,,SOUTHERN EUROPE,,,100.00000000000003,100.00000000000003
11,,,,,SOUTHERN EUROPE,,,100.00000000000003,100.00000000000003
12,,,,,SOUTHERN EUROPE,,,100.00000000000003,100.00000000000003
4,,,,,UNITED KINGDOM & IRELAND,,,66.13720522741094,66.13720522741094
5,,,,,UNITED KINGDOM & IRELAND,,,56.565390237002454,56.565390237002454
6,,,,,UNITED KINGDOM & IRELAND,,,48.35823798315362,50.7761498823113
7,,,,,UNITED KINGDOM & IRELAND,,,41.32118720591322,41.32118720591322
8,,,,,UNITED KINGDOM & IRELAND,,,35.287415428590954,35.64028958287686
9,,,,,UNITED KINGDOM & IRELAND,,,30.11388421313372,30.11388421313372
10,,,,,UNITED KINGDOM & IRELAND,,,25.677948247191622,25.677948247191622
11,,,,,UNITED KINGDOM & IRELAND,,,21.87444787685518,21.87444787685518
12,,,,,UNITED KINGDOM & IRELAND,,,18.61321615975643,18.61321615975643
